22/03/23 15:00
Estadístiques del projecte

               	Segments	Paraules	Caràcters (sense espais)	Caràcters (amb espais)	#Files	
Total:         	   10613	  166551	                  917671	               1054740	   115	
Restants:      	   10099	  161562	                  887994	               1021178	   115	
Únics:         	    9849	  164613	                  901869	               1037976	   114	
Únics restants:	    9591	  160362	                  879531	               1012013	   114	


Estadístiques per fitxer:

Nom de fitxer                                                        	Segments totals	Segments restants	Segments únics	Segments únics restants	Paraules totals	Paraules restants	Paraules úniques	Paraules úniques restants	Caràcters totals (sense espais)	Caràcters restants (sense espais)	Caràcters únics (sense espais)	Caràcters únics restants (sense espais)	Caràcters totals (amb espais)	Caràcters restants (amb espais)	Caràcters únics (amb espais)	Caràcters únics restants (amb espais)	
ch13-03-improving-our-io-project.md                                  	             78	               76	            71	                     71	           1242	             1236	            1221	                     1221	                           7128	                             7068	                          6923	                                   6923	                         8088	                           8026	                        7876	                                 7876	
ch13-04-performance.md                                               	             43	               43	            42	                     42	            750	              750	             749	                      749	                           4062	                             4062	                          4054	                                   4054	                         4707	                           4707	                        4698	                                 4698	
ch14-00-more-about-cargo.md                                          	              9	                9	             9	                      9	            101	              101	             101	                      101	                            526	                              526	                           526	                                    526	                          613	                            613	                         613	                                  613	
ch14-01-release-profiles.md                                          	             29	               29	            26	                     26	            430	              430	             424	                      424	                           2526	                             2526	                          2457	                                   2457	                         2894	                           2894	                        2821	                                 2821	
ch14-02-publishing-to-crates-io.md                                   	            185	              179	           166	                    166	           3043	             3037	            3007	                     3007	                          17001	                            16921	                         16613	                                  16613	                        19535	                          19453	                       19130	                                19130	
ch14-03-cargo-workspaces.md                                          	            131	              131	           113	                    113	           1669	             1669	            1574	                     1574	                           9944	                             9944	                          9362	                                   9362	                        11305	                          11305	                       10655	                                10655	
ch14-04-installing-binaries.md                                       	             23	               23	            21	                     21	            303	              303	             300	                      300	                           1727	                             1727	                          1695	                                   1695	                         1979	                           1979	                        1945	                                 1945	
ch14-05-extending-cargo.md                                           	              9	                9	             8	                      8	            158	              158	             157	                      157	                            802	                              802	                           794	                                    794	                          939	                            939	                         930	                                  930	
ch15-00-smart-pointers.md                                            	             30	               30	            30	                     30	            522	              522	             522	                      522	                           2727	                             2727	                          2727	                                   2727	                         3172	                           3172	                        3172	                                 3172	
ch15-01-box.md                                                       	            116	              110	           109	                    109	           2069	             2057	            2047	                     2047	                          10229	                            10099	                         10005	                                  10005	                        11973	                          11839	                       11744	                                11744	
ch15-02-deref.md                                                     	            122	              114	           113	                    113	           2220	             2196	            2196	                     2196	                          12422	                            12182	                         12172	                                  12172	                        14223	                          13975	                       13965	                                13965	
ch15-03-drop.md                                                      	             62	               59	            59	                     59	           1167	             1158	            1158	                     1158	                           6388	                             6298	                          6298	                                   6298	                         7338	                           7245	                        7245	                                 7245	
ch15-04-rc.md                                                        	             76	               72	            72	                     72	           1394	             1385	            1385	                     1385	                           7207	                             7112	                          7112	                                   7112	                         8330	                           8232	                        8232	                                 8232	
ch15-05-interior-mutability.md                                       	            152	              151	           146	                    146	           2956	             2953	            2936	                     2936	                          16082	                            16052	                         15908	                                  15908	                        18488	                          18457	                       18305	                                18305	
ch15-06-reference-cycles.md                                          	            134	              126	           125	                    125	           2664	             2643	            2642	                     2642	                          14488	                            14273	                         14265	                                  14265	                        16668	                          16446	                       16437	                                16437	
ch16-00-concurrency.md                                               	             24	               24	            24	                     24	            449	              449	             449	                      449	                           2646	                             2646	                          2646	                                   2646	                         3028	                           3028	                        3028	                                 3028	
ch16-01-threads.md                                                   	            126	              120	            98	                     98	           1903	             1885	            1731	                     1731	                           9764	                             9584	                          8948	                                   8948	                        11367	                          11181	                       10413	                                10413	
ch16-02-message-passing.md                                           	            100	               94	            94	                     94	           1765	             1747	            1747	                     1747	                           9239	                             9059	                          9059	                                   9059	                        10668	                          10482	                       10482	                                10482	
ch16-03-shared-state.md                                              	            116	              112	           111	                    111	           2049	             2037	            2031	                     2031	                          10592	                            10472	                         10442	                                  10442	                        12257	                          12133	                       12098	                                12098	
ch16-04-extensible-concurrency-sync-and-send.md                      	             39	               39	            38	                     38	            765	              765	             764	                      764	                           4366	                             4366	                          4358	                                   4358	                         5015	                           5015	                        5006	                                 5006	
ch17-00-oop.md                                                       	              8	                8	             8	                      8	            132	              132	             132	                      132	                            775	                              775	                           775	                                    775	                          886	                            886	                         886	                                  886	
ch17-01-what-is-oo.md                                                	             67	               67	            65	                     65	           1280	             1280	            1274	                     1274	                           7310	                             7310	                          7252	                                   7252	                         8392	                           8392	                        8332	                                 8332	
ch17-02-trait-objects.md                                             	            103	              100	            95	                     95	           2081	             2072	            2057	                     2057	                          11221	                            11131	                         10986	                                  10986	                        12922	                          12829	                       12679	                                12679	
ch17-03-oo-design-patterns.md                                        	            225	              222	           211	                    211	           4306	             4297	            4269	                     4269	                          23633	                            23543	                         23264	                                  23264	                        27207	                          27114	                       26825	                                26825	
ch18-00-patterns.md                                                  	             20	               20	            20	                     20	            239	              239	             239	                      239	                           1236	                             1236	                          1236	                                   1236	                         1435	                           1435	                        1435	                                 1435	
ch18-01-all-the-places-for-patterns.md                               	            105	              103	           101	                    101	           1662	             1656	            1651	                     1651	                           9068	                             9008	                          8981	                                   8981	                        10443	                          10381	                       10349	                                10349	
ch18-02-refutability.md                                              	             35	               35	            35	                     35	            678	              678	             678	                      678	                           3777	                             3777	                          3777	                                   3777	                         4318	                           4318	                        4318	                                 4318	
ch18-03-pattern-syntax.md                                            	            246	              236	           235	                    235	           4391	             4361	            4360	                     4360	                          23650	                            23350	                         23342	                                  23342	                        27298	                          26988	                       26979	                                26979	
ch19-00-advanced-features.md                                         	             14	               14	            13	                     13	            197	              197	             193	                      193	                            962	                              962	                           950	                                    950	                         1132	                           1132	                        1118	                                 1118	
ch19-01-unsafe-rust.md                                               	            197	              194	           194	                    194	           3531	             3522	            3522	                     3522	                          18959	                            18869	                         18869	                                  18869	                        21843	                          21750	                       21750	                                21750	
ch19-03-advanced-traits.md                                           	            180	              169	           166	                    166	           3227	             3194	            3183	                     3183	                          18870	                            18540	                         18455	                                  18455	                        21493	                          21152	                       21061	                                21061	
ch19-04-advanced-types.md                                            	            127	              127	           127	                    127	           2182	             2182	            2182	                     2182	                          12069	                            12069	                         12069	                                  12069	                        13813	                          13813	                       13813	                                13813	
ch19-05-advanced-functions-and-closures.md                           	             52	               51	            51	                     51	            869	              866	             866	                      866	                           5049	                             5019	                          5019	                                   5019	                         5748	                           5717	                        5717	                                 5717	
ch19-06-macros.md                                                    	            230	              229	           221	                    221	           3709	             3706	            3691	                     3691	                          21401	                            21371	                         21221	                                  21221	                        24494	                          24463	                       24308	                                24308	
ch20-00-final-project-a-web-server.md                                	             17	               17	            17	                     17	            263	              263	             263	                      263	                           1230	                             1230	                          1230	                                   1230	                         1453	                           1453	                        1453	                                 1453	
ch20-01-single-threaded.md                                           	            212	              205	           202	                    202	           3518	             3497	            3492	                     3492	                          18581	                            18371	                         18332	                                  18332	                        21451	                          21234	                       21192	                                21192	
ch20-02-multithreaded.md                                             	            318	              314	           284	                    284	           5145	             5133	            5043	                     5043	                          27731	                            27611	                         26995	                                  26995	                        31927	                          31803	                       31133	                                31133	
ch20-03-graceful-shutdown-and-cleanup.md                             	            113	              111	           100	                    100	           1601	             1595	            1555	                     1555	                           8840	                             8780	                          8463	                                   8463	                        10112	                          10050	                        9714	                                 9714	
foreword.md                                                          	             18	               18	            18	                     18	            386	              386	             386	                      386	                           1965	                             1965	                          1965	                                   1965	                         2304	                           2304	                        2304	                                 2304	
img/trpl04-01.svg                                                    	             21	               21	            19	                     19	             25	               25	              23	                       23	                             84	                               84	                            78	                                     78	                           88	                             88	                          82	                                   82	
img/trpl04-02.svg                                                    	             29	               29	             3	                      3	             37	               37	              11	                       11	                            140	                              140	                            62	                                     62	                          151	                            151	                          73	                                   73	
img/trpl04-03.svg                                                    	             40	               40	             1	                      1	             48	               48	               9	                        9	                            164	                              164	                            54	                                     54	                          175	                            175	                          65	                                   65	
img/trpl04-04.svg                                                    	             29	               29	             0	                      0	             37	               37	               0	                        0	                            140	                              140	                             0	                                      0	                          151	                            151	                           0	                                    0	
img/trpl04-05.svg                                                    	             24	               24	             2	                      2	             31	               31	               9	                        9	                            113	                              113	                            50	                                     50	                          122	                            122	                          59	                                   59	
img/trpl04-06.svg                                                    	             32	               32	             9	                      9	             39	               39	              16	                       16	                            120	                              120	                            59	                                     59	                          129	                            129	                          68	                                   68	
img/trpl15-01.svg                                                    	             12	               12	             3	                      3	             12	               12	               2	                        2	                             44	                               44	                             8	                                      8	                           48	                             48	                           8	                                    8	
img/trpl15-02.svg                                                    	              5	                5	             2	                      2	              6	                6	               2	                        2	                             23	                               23	                             8	                                      8	                           27	                             27	                           8	                                    8	
img/trpl15-03.svg                                                    	             17	               17	            13	                     13	             45	               45	              41	                       41	                            208	                              208	                           204	                                    204	                          257	                            257	                         253	                                  253	
img/trpl15-04.svg                                                    	              9	                9	             5	                      5	             31	               31	              27	                       27	                            142	                              142	                           137	                                    137	                          182	                            182	                         177	                                  177	
SUMMARY.md                                                           	            107	              107	           107	                    107	            490	              490	             490	                      490	                           3999	                             3999	                          3999	                                   3999	                         4385	                           4385	                        4385	                                 4385	
title-page.md                                                        	              9	                9	             9	                      9	            127	              127	             127	                      127	                            832	                              832	                           832	                                    832	                          936	                            936	                         936	                                  936	
